N211LG  ,39.6093,-104.8498,0,False,1754640169,1874.52,1754633565
N211LG  ,39.605,-104.8514,0,False,1754640177,1866.9,1754633565
N211LG  ,39.5982,-104.8519,0,False,1754640189,1821.18,1754633565
JBU988  ,39.7755,-105.2699,4,False,1754640189,10660.38,1754633565
N211LG  ,39.5928,-104.8518,0,False,1754640200,1783.08,1754633565
JBU988  ,39.7881,-105.2408,4,False,1754640200,10660.38,1754633565
N211LG  ,39.589,-104.8517,0,False,1754640208,1760.22,1754633565
JBU988  ,39.7966,-105.2204,4,False,1754640208,10660.38,1754633565
N211LG  ,39.5852,-104.8515,0,False,1754640215,1737.36,1754633565
JBU988  ,39.8053,-105.1963,4,False,1754640217,10660.38,1754633565
N211LG  ,39.5852,-104.8515,0,False,1754640215,1737.36,1754633565
JBU988  ,39.815,-105.162,4,False,1754640229,10660.38,1754633565
N211LG  ,39.5852,-104.8515,0,False,1754640215,1737.36,1754633565
JBU988  ,39.8136,-105.1674,4,False,1754640227,10660.38,1754633565
N211LG  ,39.5852,-104.8515,0,False,1754640215,1737.36,1754633565
JBU988  ,39.8283,-105.1044,4,False,1754640249,10652.76,1754633565
N211LG  ,39.5852,-104.8515,0,False,1754640215,1737.36,1754633565
JBU988  ,39.8398,-105.0557,4,False,1754640266,10652.76,1754633565
N211LG  ,39.5852,-104.8515,0,False,1754640215,1737.36,1754633565
JBU988  ,39.8426,-105.0437,4,False,1754640270,10652.76,1754633565
N211LG  ,39.5852,-104.8515,0,False,1754640215,1737.36,1754633565
JBU988  ,39.8479,-105.0218,4,False,1754640278,10652.76,1754633565
N211LG  ,39.5852,-104.8515,0,False,1754640215,1737.36,1754633565
JBU988  ,39.8548,-104.9927,4,False,1754640288,10652.76,1754633565
N211LG  ,39.5852,-104.8515,0,False,1754640215,1737.36,1754633565
JBU988  ,39.8678,-104.9383,4,False,1754640307,10645.14,1754633565
N211LG  ,39.5852,-104.8515,0,False,1754640215,1737.36,1754633565
JBU988  ,39.874,-104.9125,4,False,1754640316,10645.14,1754633565
N211LG  ,39.5852,-104.8515,0,False,1754640215,1737.36,1754633565
JBU988  ,39.8824,-104.8775,4,False,1754640328,10645.14,1754633565
N211LG  ,39.5852,-104.8515,0,False,1754640215,1737.36,1754633565
JBU988  ,39.8893,-104.8488,4,False,1754640338,10652.76,1754633565
N211LG  ,39.5852,-104.8515,0,False,1754640215,1737.36,1754633565
JBU988  ,39.8893,-104.8488,4,False,1754640338,10652.76,1754633565
N211LG  ,39.5852,-104.8515,0,False,1754640215,1737.36,1754633565
JBU988  ,39.8967,-104.8178,4,False,1754640349,10652.76,1754633565
N211LG  ,39.5852,-104.8515,0,False,1754640215,1737.36,1754633565
JBU988  ,39.9082,-104.7689,4,False,1754640366,10660.38,1754633565
N211LG  ,39.5852,-104.8515,0,False,1754640215,1737.36,1754633565
N211LG  ,39.5852,-104.8515,0,False,1754640215,1737.36,1754633565
N211LG  ,39.5852,-104.8515,0,False,1754640215,1737.36,1754633565
N211LG  ,39.5852,-104.8515,0,False,1754640215,1737.36,1754633565
N211LG  ,39.5852,-104.8515,0,False,1754640215,1737.36,1754633565
EMD4    ,39.6267,-104.7666,0,False,1754640418,2171.7,1754633565
